"titel","untertitel","location","location2","sticker","id"
"Just one","It's your choice, make a difference!","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","45679",""
"Kill the Unicorns","","Kleine Spiele","Im Regal Erdgeschoss (Links)","K1.1",""
"Kingsbridge","","Kleine Spiele","Im Regal Erdgeschoss (Links)","K2",""
"Kleinanzeigen ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","K4",""
"Kniffel","","Kleine Spiele","Im Regal Erdgeschoss (Links)","K5",""
"Krass kariert","","Kleine Spiele","Im Regal Erdgeschoss (Links)","K5.1",""
"L.A.M.A Party Edition","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L3",""
"L.A.M.A.","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L1",""
"L.A.M.A. Dice","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L2",""
"LEXicon go","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L5",""
"Loading","Voll unter Strom","Kleine Spiele","Im Regal Erdgeschoss (Links)","L9",""
"Lobo 77","","Kleine Spiele","Im Regal Erdgeschoss (Links)","L10",""
"Machikoro","Bau dir deine Stadt!","Kleine Spiele","Im Regal Erdgeschoss (Links)","M1",""
"Machikoro","Großstadterweiterung","Kleine Spiele","Im Regal Erdgeschoss (Links)","M1.1",""
"Mann muss auch gönnen können ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","G6",""
"Masterword","","Kleine Spiele","Im Regal Erdgeschoss (Links)","M2",""
"Memopolis","Germany","Kleine Spiele","Im Regal Erdgeschoss (Links)","M3",""
"Mensch ärgere dich nicht","","Kleine Spiele","Im Regal Erdgeschoss (Links)","M4",""
"MicroMacro Crime City","Full House","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","23",""
"Mission Wild Life","","Kleine Spiele","Im Regal Erdgeschoss (Links)","M5.0",""
"Mistkäfer ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","M5.1",""
"Mogelmotte ","Schummeln erlaubt!","Kleine Spiele","Im Regal Erdgeschoss (Links)","M6",""
"Monopoly","de Disney Editie","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","24",""
"Monopoly (Dice?)","","Kleine Spiele","Im Regal Erdgeschoss (Links)","M8",""
"More Game of Quotes","Neue verrückte Zitate","Kleine Spiele","Im Regal Erdgeschoss (Links)","M9",""
"My City","Roll & write","Kleine Spiele","Im Regal Erdgeschoss (Links)","M11",""
"My little Scythe","","Fremdsprachige Spiele","Im Regal Erdgeschoss (Links)","25",""
"Nest Station Paris","","Kleine Spiele","Im Regal Erdgeschoss (Links)","N1.1",""
"Next Station London","","Kleine Spiele","Im Regal Erdgeschoss (Links)","N1",""
"Noobs über Bord ","","Kleine Spiele","Im Regal Erdgeschoss (Links)","N4",""
