"objectname","id","rating","numplays","weight","own","fortrade","want","wanttobuy","wanttoplay","prevowned","preordered","wishlist","wishlistpriority","wishlistcomment","comment","conditiontext","haspartslist","wantpartslist","collid","baverage","average","avgweight","rank","numowned","objecttype","originalname","minplayers","maxplayers","playingtime","maxplaytime","minplaytime","yearpublished","bggrecplayers","bggbestplayers","bggrecagerange","bgglanguagedependence","publisherid","imageid","year","language","other","itemtype","barcode","pricepaid","pp_currency","currvalue","cv_currency","acquisitiondate","acquiredfrom","quantity","privatecomment","invlocation","invdate","version_publishers","version_languages","version_yearpublished","version_nickname","BG","BH","BI","BJ","BK","BL","BM","BN","BO","BP","BQ","BR","BS","BT","BU","BV","BW","BX","BY","BZ","CA","CB","CC","CD","CE","CF"
"Apokalypse","39202","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112785002","0","5.81579","1.6667","0","79","thing","Apokalypse","2","6","90","90","90","2008","2","4","6","2","4","6","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Sphinx Spieleverlag","German","2008","German edition","","","","","","","","","","","","","","","","","","","","","",""
"Applejack","367662","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110493401","5.97871","6.81059","1.9268","3007","1224","thing","Applejack","1","4","60","60","30","2022","1","2","3","4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","The Game Builders","German","2022","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Aqua Romana","20080","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112783263","5.84917","6.30837","2.1636","3917","2342","thing","Aqua Romana","2","4","60","60","45","2006","2","3","4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch English French German Italian Spanish","2006","Queen multilingual edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Arboretum","140934","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110493164","7.10492","7.29357","2.1279","361","37622","thing","Arboretum","2","4","30","30","30","2021","2","3","4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Renegade Game Studios","German","2021","German second edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Arche Nova","342942","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110494335","8.33437","8.53511","3.7601","4","63118","thing","Ark Nova","1","4","150","150","90","2022","1","2","3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Feuerland Spiele","German","2022","German edition"," second printing","","","","","","","","","","","","","","","","","","","","","","",""
"Arkham Horror: Das Kartenspiel (Revised Edition)","359609","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110494697","7.08724","8.65135","3.7059","381","6640","thing","Arkham Horror: The Card Game (Revised Edition)","1","4","180","180","45","2021","1","2","3","4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","German","2021","German edition","","","","","","","","","","","","","","","","","","","","","","",""
"Asara","72991","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110495313","6.37345","7.00551","2.3417","1502","3999","thing","Asara","2","4","45","45","45","2010","2","3","4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2010","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Asara: Die Gaben des Kalifen","108861","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111195897","5.567","7.26543","2.4286","0","406","thing","Asara: Die Gaben des Kalifen","2","4","50","50","50","2011","2","3","4","3","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Ravensburger W. Nostheide Verlag GmbH","German","2011","SpielBox German Edition","","","","","","","","","","","","","","","","","","","","","","",""
"Auf Achse","110","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110496222","5.83892","6.23483","1.9603","3997","3238","thing","Auf Achse","2","6","60","60","60","1987","2","3","4","5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","F.X. Schmid","German","1987","F.X. Schmid German second edition 1987","","","","","","","","","","","","","","","","","","","","","","",""
"Azul","230802","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111399687","7.63823","7.74868","1.763","77","145549","thing","Azul","2","4","45","45","30","2018","2","3","4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Next Move Games Pegasus Spiele Plan B Games","German","2018","German second edition with SdJ","","","","","","","","","","","","","","","","","","","","","","","",""
"Azul: Die Buntglasfenster von Sintra","256226","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111122019","7.02033","7.30924","2.0037","438","21982","thing","Azul: Stained Glass of Sintra","2","4","45","45","30","2018","2","3","4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Next Move Games","German","2018","German edition","","","","","","","","","","","","","","","","","","","","","","","",""
"Azul: Meister-Chocolatier","363247","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111164132","6.61027","7.90986","1.8043","1003","5128","thing","Azul: Master Chocolatier","2","4","45","45","30","2022","2","3","4","2","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Next Move Games","German","2022","German edition","","","","","","","","","","","","","","","","","","","","","","",""
